LSTAT,RM,DIS,NOX,PTRATIO,CRIM,TARGET
17.15,5.952,2.8715,0.655,20.2,3.77498,19.0
21.32,6.003,2.5403,0.584,20.2,4.42228,19.1
18.13,5.926,2.9084,0.58,20.2,15.5757,19.1
14.76,5.713,2.8237,0.58,20.2,13.0751,20.1
16.29,6.167,3.0334,0.58,20.2,4.34879,19.9
12.87,6.229,3.0993,0.532,20.2,4.03841,19.6
14.36,6.437,2.8965,0.58,20.2,3.56868,23.2
11.66,6.98,2.5329,0.614,20.2,4.64689,29.8
18.14,5.427,2.4298,0.584,20.2,8.05579,13.8
24.1,6.162,2.206,0.584,20.2,6.39312,13.3
18.68,6.484,2.3053,0.614,20.2,4.87141,16.7
24.91,5.304,2.1007,0.614,20.2,15.0234,12.0
18.03,6.185,2.1705,0.614,20.2,10.233,14.6
13.11,6.229,1.9512,0.614,20.2,14.3337,21.4
10.74,6.242,3.4242,0.532,20.2,5.82401,23.0
7.74,6.75,3.3317,0.532,20.2,5.70818,23.7
7.01,7.061,3.4106,0.532,20.2,5.73116,25.0
10.42,5.762,4.0983,0.532,20.2,2.81838,21.8
13.34,5.871,3.724,0.583,20.2,2.37857,20.6
10.58,6.312,3.9917,0.583,20.2,3.67367,21.2
14.98,6.114,3.5459,0.583,20.2,5.69175,19.1
11.45,5.905,3.1523,0.583,20.2,4.83567,20.6
18.06,5.454,1.8209,0.609,20.1,0.15086,15.2
23.97,5.414,1.7554,0.609,20.1,0.18337,7.0
29.68,5.093,1.8226,0.609,20.1,0.20746,8.1
18.07,5.983,1.8681,0.609,20.1,0.10574,13.6
13.35,5.983,2.1099,0.609,20.1,0.11132,20.1
12.01,5.707,2.3817,0.585,19.2,0.17331,21.8
13.59,5.926,2.3817,0.585,19.2,0.27957,24.5
17.6,5.67,2.7986,0.585,19.2,0.17899,23.1
21.14,5.39,2.7986,0.585,19.2,0.2896,19.7
14.1,5.794,2.8927,0.585,19.2,0.26838,18.3
12.92,6.019,2.4091,0.585,19.2,0.23912,21.2
15.1,5.569,2.3999,0.585,19.2,0.17783,17.5
14.33,6.027,2.4982,0.585,19.2,0.22438,16.8
9.67,6.593,2.4786,0.573,21.0,0.06263,22.4
9.08,6.12,2.2875,0.573,21.0,0.04527,20.6
5.64,6.976,2.1675,0.573,21.0,0.06076,23.9
6.48,6.794,2.3889,0.573,21.0,0.10959,22.0
7.88,6.03,2.505,0.573,21.0,0.04741,11.9
